continent;iso_code;location;Longitude;Latitude;date;total_cases;new_cases;total_deaths;new_deaths;total_tests;new_tests;positives;negatives;realized;not_confirmed;Active_cases;Recovered;Confirmed;hospitalized;population;gdp_per_capita;Nombre;descripcion;url;nombre;descripcion;url ;median_age;aged_65_older;aged_70_older
Europe;ALB;Albania;19.8166667;41.3333333;14/04/2020;467;21;23;0;;;;;;;203;248;475;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-55;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;15/04/2020;475;8;24;1;;;;;;;218;251;494;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-56;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;16/04/2020;494;19;25;1;;;;;;;215;277;518;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-57;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;17/04/2020;518;24;26;1;;;;;;;230;283;539;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-58;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;18/04/2020;539;21;26;0;;;;;;;220;302;548;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-59;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;19/04/2020;548;9;26;0;;;;;;;232;314;562;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-60;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;20/04/2020;562;14;26;0;;;;;;;231;327;584;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-61;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;21/04/2020;584;22;26;0;;;;;;;238;345;609;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-62;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;22/04/2020;609;25;26;0;;;;;;;251;356;634;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-63;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;23/04/2020;634;25;27;1;;;;;;;251;385;663;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-64;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;24/04/2020;663;29;27;0;;;;;;;257;394;678;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-65;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;25/04/2020;678;15;27;0;;;;;;;282;403;712;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-66;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;26/04/2020;712;34;27;0;;;;;;;288;410;726;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-67;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;27/04/2020;726;14;28;1;;;;;;;286;422;736;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-68;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
